"product","date","revenue","units"
13432,2011-08-01,7150,1316
13433,2011-08-01,7554,703
13438,2011-08-01,26598,1459
13439,2011-08-01,29567,1085
13443,2011-08-01,15598,292
13444,2011-08-01,4834,305
13446,2011-08-01,13990,2
13453,2011-08-01,6309,1644
13458,2011-08-01,23118,687
13461,2011-08-01,91693,828
13463,2011-08-01,508361,1562
13464,2011-08-01,73699,97
13467,2011-08-01,101680,250
13482,2011-08-01,14376,1503
13499,2011-08-01,0,1
13515,2011-08-01,16915,1775
13520,2011-08-01,35325,469
13526,2011-08-01,22298,1461
13527,2011-08-01,31190,916
13528,2011-08-01,98121,1540
13531,2011-08-01,27679,1418
13532,2011-08-01,39950,1377
13533,2011-08-01,12013,1131
13535,2011-08-01,0,1
13537,2011-08-01,0,1
13550,2011-08-01,0,1
13554,2011-08-01,0,1
13556,2011-08-01,124137,76
13561,2011-08-01,8006,564
13571,2011-08-01,10641,1828
13574,2011-08-01,8157,1194
13582,2011-08-01,24691,1265
13594,2011-08-01,17641,1600
13595,2011-08-01,29535,1329
13596,2011-08-01,55205,1329
13600,2011-08-01,14426,1455
13604,2011-08-01,44443,969
13611,2011-08-01,11022,1707
13615,2011-08-01,118116,874
13627,2011-08-01,7351,403
13628,2011-08-01,4150,72
13629,2011-08-01,10683,366
13633,2011-08-01,15303,1193
13637,2011-08-01,29463,1434
13643,2011-08-01,26591,981
13644,2011-08-01,56222,1091
13645,2011-08-01,15177,702
13650,2011-08-01,5370,589
13651,2011-08-01,6985,997
13653,2011-08-01,38157,145
13658,2011-08-01,12436,243
13663,2011-08-01,10033,1295
13664,2011-08-01,1320,2
13666,2011-08-01,7336,727
13684,2011-08-01,46294,1644
13685,2011-08-01,14662,243
13688,2011-08-01,9273,792
13781,2011-08-01,33709,284
13782,2011-08-01,24931,1502
13790,2011-08-01,20464,1103
13792,2011-08-01,18568,920
13796,2011-08-01,22561,1179
13797,2011-08-01,38537,1581
13805,2011-08-01,26349,649
