"product","date","revenue","units","price"
5429,"2011-08-01",0,1,0
5434,"2011-08-01",24411,13,1877.76923076923
5545,"2011-08-01",9730,1140,8.53508771929824
5546,"2011-08-01",10072,887,11.3551296505073
5587,"2011-08-01",0,1,0
5621,"2011-08-01",9882,702,14.0769230769231
5694,"2011-08-01",0,1,0
5770,"2011-08-01",0,1,0
5802,"2011-08-01",27354,340,80.4529411764706
5805,"2011-08-01",55377,970,57.0896907216495
5828,"2011-08-01",41814,1492,28.0254691689008
5855,"2011-08-01",228992,417,549.141486810552
5928,"2011-08-01",0,1,0
5933,"2011-08-01",6603,1774,3.72209695603157
5942,"2011-08-01",7752,615,12.6048780487805
5950,"2011-08-01",0,1,0
5977,"2011-08-01",21053,1821,11.5612300933553
5980,"2011-08-01",44918,1643,27.3390139987827
5981,"2011-08-01",52029,1585,32.8258675078864
5982,"2011-08-01",67410,1279,52.7052384675528
5984,"2011-08-01",69148,225,307.324444444444
5985,"2011-08-01",163384,669,244.221225710015
5987,"2011-08-01",22304,376,59.3191489361702
5989,"2011-08-01",71589,1477,48.4691943127962
5992,"2011-08-01",33928,644,52.6832298136646
5995,"2011-08-01",5800,648,8.95061728395062
5996,"2011-08-01",15801,797,19.8255959849435
6009,"2011-08-01",4117,1120,3.67589285714286
6010,"2011-08-01",6954,1341,5.18568232662192
6011,"2011-08-01",0,1,0
6014,"2011-08-01",17783,545,32.6293577981651
6015,"2011-08-01",23049,1120,20.5794642857143
6018,"2011-08-01",18275,530,34.4811320754717
6019,"2011-08-01",29812,1251,23.8305355715428
6022,"2011-08-01",0,1,0
6023,"2011-08-01",0,1,0
6024,"2011-08-01",0,1,0
6025,"2011-08-01",66309,1439,46.0799166087561
6026,"2011-08-01",46272,1698,27.2508833922261
6032,"2011-08-01",10386,1014,10.2426035502959
6050,"2011-08-01",34225,1040,32.9086538461538
6060,"2011-08-01",15121,1811,8.3495306460519
6063,"2011-08-01",36915,662,55.7628398791541
6064,"2011-08-01",19341,267,72.438202247191
6065,"2011-08-01",16186,582,27.8109965635739
6066,"2011-08-01",58706,1772,33.1297968397291
6075,"2011-08-01",18992,1666,11.3997599039616
6076,"2011-08-01",39462,1172,33.6706484641638
6078,"2011-08-01",5160,1181,4.36917866215072
6079,"2011-08-01",9273,1244,7.45418006430868
6081,"2011-08-01",42997,1829,23.5084745762712
6082,"2011-08-01",40942,1281,31.9609679937549
6083,"2011-08-01",22381,1310,17.0847328244275
6088,"2011-08-01",0,1,0
6090,"2011-08-01",0,1,0
