"Opted.out.of.all.email","First.email.send.date","Last.email.send.date","Emails.Delivered"
FALSE,2014-05-02,2014-07-28,20
FALSE,2014-04-28,2014-07-28,13
FALSE,2014-05-07,2014-07-28,11
FALSE,2014-04-29,2014-07-28,15
FALSE,2014-04-28,2014-07-28,21
FALSE,2014-04-29,2014-07-28,11
FALSE,2014-06-24,2014-07-28,4
FALSE,2014-05-05,2014-07-28,21
FALSE,2014-04-30,2014-07-28,13
FALSE,2014-05-01,2014-07-28,13
FALSE,2014-05-01,2014-07-28,20
FALSE,2014-04-28,2014-07-29,20
FALSE,2014-05-07,2014-07-28,14
FALSE,2014-05-02,2014-07-28,15
FALSE,2014-05-07,2014-07-28,5
FALSE,2014-05-05,2014-07-28,10
FALSE,2014-05-05,2014-07-28,10
FALSE,2014-04-28,2014-07-28,12
FALSE,2014-04-28,2014-07-28,16
FALSE,2014-04-30,2014-07-28,14
FALSE,2014-04-28,2014-07-28,11
FALSE,2014-04-30,2014-07-28,11
FALSE,2014-05-05,2014-07-30,20
FALSE,2014-05-07,2014-07-28,19
FALSE,2014-05-07,2014-07-28,15
FALSE,2014-04-29,2014-07-28,18
FALSE,2014-05-07,2014-07-28,10
FALSE,2014-05-19,2014-07-28,12
FALSE,2014-05-07,2014-07-28,14
FALSE,2014-05-05,2014-07-28,16
FALSE,2014-04-28,2014-07-28,20
FALSE,2014-04-30,2014-07-28,14
FALSE,2014-05-07,2014-07-28,10
TRUE,2014-04-30,2014-05-08,6
FALSE,2014-05-07,2014-07-30,19
FALSE,2014-05-06,2014-07-28,16
FALSE,2014-05-06,2014-07-28,11
FALSE,2014-05-07,2014-07-28,10
FALSE,2014-05-06,2014-07-28,15
FALSE,2014-05-07,2014-07-28,10
FALSE,2014-05-07,2014-07-28,15
FALSE,2014-05-02,2014-07-28,17
FALSE,2014-05-07,2014-07-30,16
FALSE,2014-05-07,2014-07-29,11
FALSE,2014-05-06,2014-07-28,27
TRUE,2014-05-05,2014-05-20,7
FALSE,2014-05-07,2014-07-28,11
FALSE,2014-05-02,2014-07-28,11
FALSE,2014-05-04,2014-07-28,11
FALSE,2014-05-03,2014-07-29,12
